bbox_bounds,winsize
"(969, 193, 1801, 1025)",832
"(969, 387, 1801, 1219)",832
"(969, 581, 1801, 1413)",832
"(969, 775, 1801, 1607)",832
"(969, 969, 1801, 1801)",832
"(969, 1163, 1801, 1995)",832
"(969, 1357, 1801, 2189)",832
"(969, 1551, 1801, 2383)",832
"(969, 1745, 1801, 2577)",832
"(969, 1939, 1801, 2771)",832
"(1163, 0, 1995, 832)",832
"(1163, 193, 1995, 1025)",832
"(1163, 387, 1995, 1219)",832
"(1163, 581, 1995, 1413)",832
"(1163, 775, 1995, 1607)",832
"(1163, 969, 1995, 1801)",832
"(1163, 1163, 1995, 1995)",832
"(1163, 1357, 1995, 2189)",832
"(1163, 1551, 1995, 2383)",832
"(1163, 1745, 1995, 2577)",832
"(1163, 1939, 1995, 2771)",832
